date,btc:open,btc:high,btc:low,btc:close,btc:volume,btc:macd,btc:macd_diff,btc:macd_signal,btc:rsi,btc:bb_bbm,btc:bb_bbh,btc:bb_bbl,btc:atr,btc
2021-10-09,53929.78125,55397.945313,53735.144531,54968.222656,32491211414,2227.5860508277037,1236.366740414177,991.2193104135267,67.762532778479,46607.8548828,56350.67708445687,36865.03268114313,2496.928915492032,54968.222656
2021-10-10,54952.820313,56401.304688,54264.257813,54771.578125,39527792364,2403.5961163645406,1129.901444760811,1273.6946716037296,67.07167528722945,47204.24375,57402.06314966626,37006.42435033374,2471.2230554568864,54771.578125
2021-10-11,54734.125,57793.039063,54519.765625,57484.789063,42637331698,2730.54281101175,1165.4785115264162,1565.0642994853338,71.40373577639771,48043.799414099994,58713.21968825058,37374.37913994941,2528.51236849568,57484.789063
2021-10-12,57526.832031,57627.878906,54477.972656,56041.058594,41083758949,2840.410949621255,1020.2773201087368,1820.1336295125182,66.39800858955581,48667.12695314999,59670.70353068467,37663.55037561532,2572.897645745989,56041.058594
2021-10-13,56038.257813,57688.660156,54370.972656,57401.097656,41684252783,3002.6137645931376,945.9841080644956,2056.629656528642,68.6291278179588,49292.42695315,60778.30980914355,37806.54409715645,2626.096921049847,57401.097656
2021-10-14,57372.832031,58478.734375,56957.074219,57321.523438,36615791366,3089.130120589987,826.0003712490761,2263.129749340911,68.3431984638178,50016.51562505,61609.36503590558,38423.66621419442,2547.2085806891437,57321.523438
2021-10-15,57345.902344,62757.128906,56868.144531,61593.949219,51780081801,3462.5301185522985,959.5202953691096,2503.009823183189,74.48884086878228,50960.383398499995,63083.92388038245,38836.84291661754,2785.906851711348,61593.949219
2021-10-16,61609.527344,62274.476563,60206.121094,60892.179688,34250964237,3659.639326807075,925.3036028991087,2734.3357239079664,72.01579221745811,51844.56542975,64155.65879082731,39533.472068672694,2734.6531815176795,60892.179688
2021-10-17,60887.652344,61645.523438,59164.46875,61553.617188,29032367511,3825.1285717154533,872.6342782459892,2952.494293469464,72.92809550865586,52810.4597657,64984.958014932694,40635.9615164673,2716.539003409274,61553.617188
2021-10-18,61548.804688,62614.660156,60012.757813,62026.078125,38055562075,3948.88337028792,797.1112614547646,3151.7721088331555,73.59038828430783,53860.036523500006,65395.33206400557,42324.740982994444,2708.3506705228974,62026.078125
2021-10-19,62043.164063,64434.535156,61622.933594,64261.992188,40471196346,4179.204253166208,821.9457154664419,3357.2585376997663,76.5181600369305,54994.91796885,65918.0420576255,44071.7938800745,2715.725734199833,64261.992188
2021-10-20,64284.585938,66930.390625,63610.675781,65992.835938,40788955582,4450.101833732777,874.2746368264084,3575.8271969063685,78.50473703588833,56105.0150392,66757.25374890048,45452.77632949953,2758.867813471273,65992.835938
2021-10-21,66002.234375,66600.546875,62117.410156,62210.171875,45908121370,4309.879137313612,587.2415523257946,3722.6375849878173,65.46905036557271,56809.67656265,67113.88550860873,46505.46761669127,2882.029878151897,62210.171875
2021-10-22,62237.890625,63715.023438,60122.796875,60692.265625,38434082775,4029.816080149729,245.74279612952932,3784.0732840201995,61.08566912727584,57458.715429849995,66995.54979777189,47921.8810619281,2932.758212783904,60692.265625
2021-10-23,60694.628906,61743.878906,59826.523438,61393.617188,26882546034,3820.4178998743228,29.075692683298257,3791.3422071910245,62.3403268181513,58118.398633,66788.01434148556,49448.78292451444,2860.2294452993397,61393.617188
